date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2018-03-26,sz.000651,48.1000,48.5000,47.2800,48.1300,48.8800,55748522,2666239686.6400,3,0.933734,1,-1.534370,0
2018-03-27,sz.000651,48.8600,49.2500,47.0200,47.4400,48.1300,59263054,2850105401.0600,3,0.992599,1,-1.433622,0
2018-03-28,sz.000651,47.0000,47.0000,45.0100,45.5100,47.4400,93407226,4285924668.1800,3,1.564481,1,-4.068297,0
2018-03-29,sz.000651,45.7300,47.5000,44.5300,47.1000,45.5100,84705533,3905497643.3000,3,1.418736,1,3.493738,0
2018-03-30,sz.000651,46.9900,47.7000,46.7000,46.9000,47.1000,50675548,2389060262.7000,3,0.848767,1,-0.424622,0
2018-04-02,sz.000651,46.6300,47.5600,45.8400,45.9700,46.9000,50899609,2364191581.4000,3,0.852520,1,-1.982943,0
2018-04-03,sz.000651,45.5000,46.4800,45.1300,46.1200,45.9700,37204690,1711854365.1800,3,0.623143,1,0.326295,0
2018-04-04,sz.000651,46.3000,47.4500,45.9300,46.8000,46.1200,49121551,2304030443.6100,3,0.822739,1,1.474415,0
2018-04-09,sz.000651,46.6500,46.9800,45.4200,45.7200,46.8000,50526163,2321739100.1000,3,0.846265,1,-2.307688,0
2018-04-10,sz.000651,45.9000,47.6800,45.9000,47.6800,45.7200,58234674,2732963504.6400,3,0.975375,1,4.286962,0
2018-04-11,sz.000651,48.0000,48.8600,47.9800,48.1200,47.6800,53506850,2587784012.3300,3,0.896188,1,0.922816,0
2018-04-12,sz.000651,48.1300,48.4000,47.6000,47.8000,48.1200,31813832,1524962479.1200,3,0.532851,1,-0.665003,0
2018-04-13,sz.000651,48.1800,48.5500,47.1200,47.4500,47.8000,33791871,1615317001.9100,3,0.565981,1,-0.732214,0
2018-04-16,sz.000651,47.4500,47.7500,45.7600,46.1900,47.4500,52929896,2459699593.0100,3,0.886525,1,-2.655431,0
2018-04-17,sz.000651,46.1400,46.4700,45.2000,45.2900,46.1900,51866284,2369145146.6800,3,0.868710,1,-1.948469,0
2018-04-18,sz.000651,45.8800,46.0500,44.7500,45.3500,45.2900,45172183,2046752060.7900,3,0.756591,1,0.132474,0
2018-04-19,sz.000651,45.6200,47.6600,45.3600,47.6000,45.3500,66392257,3114645680.9100,3,1.112006,1,4.961411,0
2018-04-20,sz.000651,47.8300,49.3000,47.5900,47.8500,47.6000,76721481,3713014388.5600,3,1.285011,1,0.525210,0
2018-04-23,sz.000651,48.0900,49.7600,48.0900,49.7200,47.8500,76366234,3758734470.0200,3,1.279061,1,3.908052,0
2018-04-24,sz.000651,50.0900,51.0600,49.8000,50.1900,49.7200,68244211,3440975291.1300,3,1.143025,1,0.945288,0
2018-04-25,sz.000651,50.0000,50.9400,49.7200,50.0700,50.1900,43375133,2172387270.7800,3,0.726492,1,-0.239089,0
2018-04-26,sz.000651,45.1200,47.2200,45.0600,45.5800,50.0700,374562480,17120544884.2100,3,6.274532,1,-8.967442,0
2018-04-27,sz.000651,46.3000,46.4000,44.0800,44.0800,45.5800,229328728,10364328132.2500,3,3.841630,1,-3.290917,0
2018-05-02,sz.000651,44.2300,45.5100,44.2200,45.2000,44.0800,97417831,4377469457.1300,3,1.631907,1,2.540832,0
2018-05-03,sz.000651,45.1600,45.8900,44.5800,45.7900,45.2000,93089614,4216684247.9500,3,1.559403,1,1.305310,0
2018-05-04,sz.000651,45.7900,46.8700,45.7000,45.8800,45.7900,86575306,4005374116.0200,3,1.450277,1,0.196550,0
2018-05-07,sz.000651,46.1900,46.8500,45.3600,46.7200,45.8800,94224179,4362155954.2200,3,1.578409,1,1.830863,0
2018-05-08,sz.000651,46.7700,48.2000,46.7600,48.0000,46.7200,98575622,4715468535.7300,3,1.651302,1,2.739723,0
2018-05-09,sz.000651,48.1200,48.2500,47.5800,48.2000,48.0000,62349524,2987756534.5300,3,1.044456,1,0.416668,0
2018-05-10,sz.000651,48.3400,48.6200,47.7100,48.2100,48.2000,56093513,2697175417.4900,3,0.939658,1,0.020743,0
2018-05-11,sz.000651,48.4000,48.4900,47.2000,47.5000,48.2100,54755105,2612070656.0000,3,0.917237,1,-1.472722,0
2018-05-14,sz.000651,47.9800,48.6900,47.8300,48.5800,47.5000,68431158,3309888878.3700,3,1.146333,1,2.273688,0
2018-05-15,sz.000651,48.7500,48.7500,48.0300,48.3500,48.5800,47644235,2299143888.9300,3,0.798119,1,-0.473453,0
2018-05-16,sz.000651,48.0600,48.2700,47.8000,47.8800,48.3500,40971278,1966334069.0900,3,0.686336,1,-0.972073,0
2018-05-17,sz.000651,48.2300,48.4300,47.7000,47.7500,47.8800,43653199,2094714138.7200,3,0.731262,1,-0.271514,0
2018-05-18,sz.000651,47.6500,48.3500,47.2300,48.2700,47.7500,48718536,2332980431.2500,3,0.816115,1,1.089006,0
2018-05-21,sz.000651,48.4000,48.5000,47.7300,47.9400,48.2700,57405775,2754567564.2800,3,0.961640,1,-0.683658,0
2018-05-22,sz.000651,47.7800,47.7800,46.3300,46.8000,47.9400,83949514,3931905071.7300,3,1.406291,1,-2.377971,0
2018-05-23,sz.000651,46.7200,46.7200,46.1000,46.2200,46.8000,39970561,1852564322.8100,3,0.669572,1,-1.239312,0
2018-05-24,sz.000651,46.2200,46.4000,45.5400,45.6100,46.2200,45100043,2071873145.4800,3,0.755499,1,-1.319776,0
2018-05-25,sz.000651,45.6100,46.0900,45.5000,45.7400,45.6100,33685203,1543374765.1500,3,0.564282,1,0.285028,0
2018-05-28,sz.000651,45.8100,46.8200,45.5700,46.6300,45.7400,50153842,2327884462.3900,3,0.840159,1,1.945779,0
2018-05-29,sz.000651,46.6900,46.7900,45.9700,46.0700,46.6300,39108146,1809381304.5200,3,0.655125,1,-1.200947,0
2018-05-30,sz.000651,45.4800,45.8600,44.6000,45.3300,46.0700,44397400,2012561662.9400,3,0.743729,1,-1.606247,0
2018-05-31,sz.000651,45.8500,47.8400,45.5400,47.5000,45.3300,104390682,4896816201.0100,3,1.748714,1,4.787112,0
2018-06-01,sz.000651,47.3000,47.3000,46.2600,46.5800,47.5000,49574121,2317118532.0100,3,0.830447,1,-1.936838,0
2018-06-04,sz.000651,47.0000,48.3100,46.9900,47.8100,46.5800,102494675,4905856028.2000,3,1.716953,1,2.640617,0
2018-06-05,sz.000651,48.0000,48.8400,47.9300,48.5500,47.8100,103309517,4998401888.6500,3,1.730603,1,1.547789,0
2018-06-06,sz.000651,48.5500,48.8000,48.1500,48.4100,48.5500,54554460,2643308480.8900,3,0.913876,1,-0.288361,0
2018-06-07,sz.000651,48.7500,48.8600,47.9200,47.9800,48.4100,56442886,2729668567.9600,3,0.945510,1,-0.888247,0
2018-06-08,sz.000651,47.9500,48.7300,47.7500,48.1500,47.9800,73404086,3541127529.9800,3,1.229638,1,0.354318,0
2018-06-11,sz.000651,48.7000,49.4800,48.2300,48.9300,48.1500,88036884,4306262764.2400,3,1.474761,1,1.619935,0
2018-06-12,sz.000651,49.1600,50.5800,48.9500,50.4000,48.9300,101023385,5039651580.5400,3,1.692306,1,3.004294,0
2018-06-13,sz.000651,50.2000,50.7600,49.7500,49.8800,50.4000,56532002,2843041527.0900,3,0.947003,1,-1.031747,0
2018-06-14,sz.000651,49.9300,50.2300,48.6500,48.9400,49.8800,60791716,2994396181.1100,3,1.018360,1,-1.884528,0
2018-06-15,sz.000651,49.0200,49.5500,48.6000,49.0100,48.9400,44982206,2207443063.9900,3,0.753525,1,0.143032,0
2018-06-19,sz.000651,48.0200,48.5000,46.7300,47.3300,49.0100,92487401,4415222755.5200,3,1.549315,1,-3.427865,0
2018-06-20,sz.000651,47.2200,48.1900,46.8800,47.8800,47.3300,50405810,2397185089.5500,3,0.844379,1,1.162052,0
2018-06-21,sz.000651,47.8900,48.8400,47.6600,47.8600,47.8800,48925961,2363811870.1900,3,0.819590,1,-0.041772,0
2018-06-22,sz.000651,47.5000,48.1100,46.8600,48.0600,47.8600,45700588,2168283884.4700,3,0.765559,1,0.417887,0
2018-06-25,sz.000651,48.2500,48.9900,47.5500,47.7600,48.0600,51231492,2482119784.4100,3,0.858211,1,-0.624226,0
2018-06-26,sz.000651,47.1000,47.7600,46.6200,47.3000,47.7600,48389615,2283123676.5400,3,0.810605,1,-0.963147,0
2018-06-27,sz.000651,47.3600,47.7000,45.1800,45.4700,47.3000,72707903,3356765097.2400,3,1.217976,1,-3.868918,0
2018-06-28,sz.000651,44.9000,45.9200,44.7100,45.1800,45.4700,51444387,2333097920.7200,3,0.861777,1,-0.637785,0
2018-06-29,sz.000651,45.6000,47.2000,45.2000,47.1500,45.1800,48587654,2252658770.3400,3,0.813922,1,4.360339,0
2018-07-02,sz.000651,47.0000,47.0000,44.9800,45.3500,47.1500,62894541,2881379866.5700,3,1.053586,1,-3.817610,0
2018-07-03,sz.000651,45.3700,45.7100,43.1100,44.6000,45.3500,80729650,3574460734.0500,3,1.352353,1,-1.653804,0
2018-07-04,sz.000651,44.6300,44.8700,42.9000,43.1800,44.6000,55188703,2416923725.0300,3,0.924501,1,-3.183852,0
2018-07-05,sz.000651,43.8000,44.5300,43.3400,43.4100,43.1800,52083304,2287457952.1900,3,0.872480,1,0.532653,0
2018-07-06,sz.000651,43.7900,44.6800,43.3100,44.2000,43.4100,48774501,2147081615.5100,3,0.817052,1,1.819859,0
2018-07-09,sz.000651,44.7800,46.1500,44.4100,46.0200,44.2000,60838197,2768288825.7100,3,1.019139,1,4.117646,0
2018-07-10,sz.000651,46.0200,46.1800,45.3300,45.8800,46.0200,38756822,1775031634.4400,3,0.649240,1,-0.304214,0
2018-07-11,sz.000651,44.8000,45.6400,44.4000,45.2900,45.8800,31229807,1408057412.4400,3,0.523150,1,-1.285964,0
2018-07-12,sz.000651,45.1500,46.7200,45.1500,46.1000,45.2900,44135425,2039515219.2800,3,0.739340,1,1.788469,0
2018-07-13,sz.000651,46.2700,46.7500,46.1000,46.4600,46.1000,36846374,1711183739.1700,3,0.617237,1,0.780912,0
2018-07-16,sz.000651,46.7100,47.2000,46.0600,46.4500,46.4600,30450373,1416062699.1400,3,0.510093,1,-0.021520,0
2018-07-17,sz.000651,46.2600,46.2800,45.4000,45.7400,46.4500,30106764,1373629186.5800,3,0.504337,1,-1.528523,0
2018-07-18,sz.000651,45.8000,46.3700,44.5000,44.8500,45.7400,48823454,2209185014.3100,3,0.817872,1,-1.945787,0
2018-07-19,sz.000651,44.9800,45.5300,44.5500,45.2300,44.8500,29247677,1319150130.5300,3,0.489946,1,0.847271,0
2018-07-20,sz.000651,44.9000,45.2600,43.7600,45.0600,45.2300,62797184,2788281850.9800,3,1.051955,1,-0.375853,0
2018-07-23,sz.000651,44.6000,44.6000,43.8000,44.5000,45.0600,55466055,2447499441.0900,3,0.929147,1,-1.242790,0
2018-07-24,sz.000651,44.9800,45.9700,44.5800,45.7800,44.5000,67554087,3071358564.4000,3,1.131641,1,2.876402,0
2018-07-25,sz.000651,45.8900,45.9800,44.8600,44.9600,45.7800,50459246,2277135611.9800,3,0.845275,1,-1.791175,0
2018-07-26,sz.000651,45.0000,45.2800,44.3900,44.5100,44.9600,33883220,1517735872.2800,3,0.567599,1,-1.000891,0
2018-07-27,sz.000651,44.5100,44.5500,43.8100,44.1200,44.5100,31911312,1405126519.9400,3,0.534566,1,-0.876206,0
2018-07-30,sz.000651,44.0000,44.3400,43.7000,44.2200,44.1200,31568785,1389043418.1000,3,0.528829,1,0.226660,0
2018-07-31,sz.000651,44.0200,44.5100,43.9000,44.1700,44.2200,21009836,928436162.9800,3,0.351949,1,-0.113078,0
2018-08-01,sz.000651,44.4500,44.5100,42.9800,43.0500,44.1700,50146597,2185344705.2600,3,0.840037,1,-2.535655,0
2018-08-02,sz.000651,43.0000,43.0000,40.5600,41.1200,43.0500,79350394,3287575046.8600,3,1.329248,1,-4.483160,0
2018-08-03,sz.000651,40.9800,41.2900,39.1300,39.5100,41.1200,82263427,3283077932.8400,3,1.378046,1,-3.915371,0
2018-08-06,sz.000651,39.6500,39.9000,38.6200,38.8300,39.5100,59217113,2321179395.7600,3,0.991983,1,-1.721074,0
2018-08-07,sz.000651,39.2000,40.4500,38.8400,40.4200,38.8300,66269803,2635186006.1200,3,1.110127,1,4.094762,0
2018-08-08,sz.000651,40.4200,40.5000,39.1100,39.1900,40.4200,47816648,1896958377.6200,3,0.801007,1,-3.043047,0
2018-08-09,sz.000651,39.0100,40.8600,38.9200,40.3600,39.1900,59635237,2401246371.1900,3,0.998987,1,2.985461,0
2018-08-10,sz.000651,40.8300,41.1600,40.4300,40.7000,40.3600,39076142,1592555891.1800,3,0.654589,1,0.842419,0
2018-08-13,sz.000651,40.1000,40.3900,39.7600,40.3500,40.7000,31910443,1278853114.2600,3,0.534552,1,-0.859956,0
2018-08-14,sz.000651,40.4500,40.4900,39.7000,40.0000,40.3500,25217061,1008666803.8300,3,0.422427,1,-0.867406,0
2018-08-15,sz.000651,40.0000,40.0000,38.8800,38.9400,40.0000,39900183,1562895761.4900,3,0.668393,1,-2.650003,0
2018-08-16,sz.000651,38.4000,39.4200,37.8000,38.6900,38.9400,34871393,1350629171.4300,3,0.584153,1,-0.642013,0
2018-08-17,sz.000651,39.1900,39.3400,37.9000,38.0000,38.6900,34113314,1311708601.6300,3,0.571454,1,-1.783403,0
2018-08-20,sz.000651,37.9000,38.3500,37.3600,38.3500,38.0000,36936070,1401297360.4500,3,0.618739,1,0.921049,0
2018-08-21,sz.000651,38.5500,39.8800,38.3000,39.7800,38.3500,57693977,2271112062.7200,3,0.966468,1,3.728814,0
2018-08-22,sz.000651,39.7100,39.7100,39.1000,39.2800,39.7800,27804813,1093520354.1800,3,0.465776,1,-1.256913,0
2018-08-23,sz.000651,39.3000,39.5700,38.5600,39.1800,39.2800,39532138,1545639451.2200,3,0.662228,1,-0.254579,0
2018-08-24,sz.000651,38.9800,39.2800,38.6800,38.9400,39.1800,29073278,1132523956.6400,3,0.487025,1,-0.612562,0
2018-08-27,sz.000651,39.1000,40.6300,39.1000,40.3400,38.9400,54521948,2186797146.1100,3,0.913332,1,3.595279,0
2018-08-28,sz.000651,40.4600,41.0800,40.3400,40.6300,40.3400,39962569,1626500254.9900,3,0.669438,1,0.718892,0
2018-08-29,sz.000651,40.5500,41.1200,40.3800,40.9100,40.6300,36108349,1474410743.7200,3,0.604874,1,0.689143,0
2018-08-30,sz.000651,40.9900,41.3900,39.9000,40.6000,40.9100,48278906,1963324744.4800,3,0.808750,1,-0.757764,0
2018-08-31,sz.000651,39.0000,39.5000,38.5100,38.9500,40.6000,102467246,3993999181.4100,3,1.716422,1,-4.064034,0
2018-09-03,sz.000651,38.7700,38.7700,38.1100,38.4600,38.9500,52278011,2006035474.0000,3,0.875706,1,-1.258027,0
2018-09-04,sz.000651,38.6500,39.0900,38.1100,38.8600,38.4600,42231250,1627596686.3300,3,0.707413,1,1.040046,0
2018-09-05,sz.000651,38.5600,38.6400,37.5800,37.6100,38.8600,61375742,2335170532.5700,3,1.028101,1,-3.216675,0
2018-09-06,sz.000651,37.5800,37.7800,36.3700,36.5100,37.6100,78445990,2900214456.9800,3,1.314044,1,-2.924760,0
2018-09-07,sz.000651,36.7000,37.1900,36.0100,36.5400,36.5100,53708811,1965460738.6600,3,0.899673,1,0.082176,0
2018-09-10,sz.000651,36.3000,36.4300,35.7700,36.0000,36.5400,39319076,1416210101.0100,3,0.658631,1,-1.477835,0
2018-09-11,sz.000651,36.0300,36.5300,36.0200,36.2300,36.0000,36371378,1318211589.4000,3,0.609255,1,0.638888,0
2018-09-12,sz.000651,36.2400,36.2600,35.6000,35.7700,36.2300,39131741,1403583087.1400,3,0.655493,1,-1.269663,0
2018-09-13,sz.000651,36.2200,36.4900,35.8000,36.4500,35.7700,43396528,1571759991.6900,3,0.726932,1,1.901035,0
2018-09-14,sz.000651,36.4500,37.3700,36.2300,37.0800,36.4500,47100832,1733441067.1500,3,0.788983,1,1.728398,0
